institution,pslf_class,evidence,ein,propublica_match,subsec_code,ntee_code,state,original_class
Mobile Infirmary Med Ctr,pslf_eligible_501c3,ProPublica match: Mobile Infirmary Association (501c3),630288856,Mobile Infirmary Association,3.0,E220,AL,pslf_friendly
South Baldwin Reg Med Ctr,no_propublica_match,no ProPublica result,,,,,AL,pslf_friendly
Southeast Health,pslf_eligible_501c3,ProPublica match: Southwest Health (501c3),920682043,Southwest Health,3.0,E11,AL,ambiguous
St Vincents East,pslf_eligible_501c3,ProPublica match: St Vincents East (501c3),630578923,St Vincents East,3.0,E220,AL,ambiguous
Thomas Hospital,pslf_eligible_501c3,ProPublica match: St Thomas Mar Thoma Congregation Houston (501c3),832147046,St Thomas Mar Thoma Congregation Houston,3.0,X20,AL,ambiguous
UAB Selma Fam Med Res,no_propublica_match,no ProPublica result,,,,,AL,ambiguous
Providence Hospital,pslf_eligible_501c3,ProPublica match: Providence College (501c3),50258932,Providence College,3.0,B420,AK,ambiguous
U Washington Soldotna,no_propublica_match,no ProPublica result,,,,,AK,pslf_friendly
Abrazo Health Network,no_propublica_match,no ProPublica result,,,,,AZ,ambiguous
Barrow Neurological Inst at SJHMC,no_propublica_match,no ProPublica result,,,,,AZ,ambiguous
Creighton University,pslf_eligible_501c3,ProPublica match: Creighton University (501c3),470376583,Creighton University,3.0,B430,AZ,pslf_friendly
Dignity East Valley,pslf_eligible_501c3,ProPublica match: Dignity Health Foundation East Valley (501c3),742418514,Dignity Health Foundation East Valley,3.0,E11,AZ,ambiguous
El Rio Health,pslf_eligible_501c3,ProPublica match: El Rio Health Center Foundation Inc (501c3),860816675,El Rio Health Center Foundation Inc,3.0,T30Z,AZ,ambiguous
HonorHealth,pslf_eligible_501c3,ProPublica match: Honorhealth (501c3),860181654,Honorhealth,3.0,E200,AZ,ambiguous
MHC Healthcare,pslf_eligible_501c3,ProPublica match: Mhc Foundation (501c3),814700867,Mhc Foundation,3.0,D11,AZ,pslf_friendly
Mayo Clinic School of Grad Med Educ,no_propublica_match,no ProPublica result,,,,,AZ,pslf_friendly
Midwestern University OPTI,no_propublica_match,no ProPublica result,,,,,AZ,pslf_friendly
North Country HealthCare,pslf_eligible_501c3,ProPublica match: North County (501c3),202255589,North County,3.0,,AZ,pslf_friendly
Phoenix Childrens Hospital,pslf_eligible_501c3,ProPublica match: Phoenix Childrens Project (501c3),900137202,Phoenix Childrens Project,3.0,K30,AZ,pslf_friendly
Tucson Hospitals Med Ed,no_propublica_match,no ProPublica result,,,,,AZ,pslf_friendly
Yuma Regional Med Ctr,pslf_eligible_501c3,ProPublica match: Yuma Regional Medical Center (501c3),866007596,Yuma Regional Medical Center,3.0,E20,AZ,pslf_friendly
Baptist Health,pslf_eligible_501c3,ProPublica match: Baptist Health (501c3),710236856,Baptist Health,3.0,E220,AR,ambiguous
Baptist Mem Med Education,no_propublica_match,no ProPublica result,,,,,AR,ambiguous
CHI St Vincent Hot Springs,pslf_eligible_501c3,ProPublica match: Chi St Vincent Hot Springs (501c3),261125064,Chi St Vincent Hot Springs,3.0,E21,AR,ambiguous
